ARI,#97233F,#FFB612,#000000
ATL,#A71930,#A5ACAF,#000000
BAL,#241773,#9E7C0C,#000000
BUF,#00338D,#C60C30,#000000
CAR,#0085CA,#BFC0BF,#000000
CHI,#F26522,#00143F,#000000
CIN,#FB4F14,#000000,#B0B7BD
CLE,#22150C,#FB4F14,#000000
DAL,#0C264C,#B0B7BC,#000000
DEN,#002244,#FB4F14,#000000
DET,#046EB4,#B0B7BC,#000000
GB,#24423C,#FCBE14,#000000
HOU,#00143F,#C9243F,#000000
IND,#003D79,#FFFFFF,#000000
JAX,#D8A328,#136677,#000000
KC,#CA2430,#FFB612,#000000
LA,#95774C,#002147,#000000
LAC,#0A2342,#2072BA,#FDB515
LV,#000000,#A5ACAF,#B0B7BD
MIA,#0091A0,#FF8500,#002760
MIN,#4F2E84,#FEC62F,#000000
NE,#0A2342,#C81F32,#B0B7BD
NO,#A08A58,#000000,#B0B7BD
NYG,#192E6C,#B20032,#000000
NYJ,#203731,#FFFFFF,#000000
OAK,#C4C9CC,#000000,#B0B7BD
PHI,#014A53,#BBC4C9,#000000
PIT,#FFC20E,#000000,#DA2128
SEA,#002A5C,#7AC142,#B2B7BB
SF,#C9243F,#C8AA76,#000000
TB,#D40909,#B0B9BF,#000000
TEN,#4095D1,#00295B,#DA2128
WAS,#FFC20F,#7C1415,#693213
