"season","week","gameDate","quarter","clock","gameId","playId","kteamname","rteamname","kteamscore","rteamscore","playDescription","penaltyCodes","penaltyYards","penaltyJerseyNumbers","kickLength","returner","n"
2018,1,"09/06/2018",1,"9:20",2018090600,366,"PHI","ATL",0,0,"(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.","UNSd",-15,"PHI 18",56,"Justin Hardy",128
2018,1,"09/06/2018",2,":44",2018090600,1989,"ATL","PHI",6,3,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.","UNR",12,"PHI 50",57,"Darren Sproles",126
2018,1,"09/06/2018",3,"10:22",2018090600,2599,"ATL","PHI",6,3,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",NA,NA,NA,46,"Darren Sproles",121
2018,1,"09/06/2018",4,"5:04",2018090600,3868,"ATL","PHI",12,10,"(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.","FMM",-15,"ATL 85",52,"Darren Sproles",136
2018,1,"09/09/2018",1,"2:07",2018090901,887,"CLE","PIT",0,0,"(2:07) (Punt formation) B.Colquitt punts 52 yards to PIT 22, Center-C.Hughlett. R.Switzer to CLE 44 for 34 yards (N.Chubb). PENALTY on PIT-D.Heyward-Bey, Offensive Holding, 10 yards, enforced at PIT 22. Penalty on PIT-R.Nix, Offensive Holding, declined.","OH;OH",10,"PIT 88;PIT 45",52,"Ryan Switzer",141
2018,1,"09/09/2018",1,"2:24",2018090910,700,"DAL","CAR",0,0,"(2:24) C.Jones punts 51 yards to CAR 4, Center-L.Ladouceur. D.Byrd to CAR 18 for 14 yards (J.Thomas).",NA,NA,NA,51,"Damiere Byrd",128
2018,1,"09/09/2018",1,"4:25",2018090912,583,"GB","CHI",0,7,"(4:25) J.Scott punts 44 yards to CHI 29, Center-H.Bradley. T.Cohen to CHI 32 for 3 yards (J.Whitehead).",NA,NA,NA,44,"Tarik Cohen",130
2018,1,"09/09/2018",1,"5:43",2018090900,674,"BUF","BAL",0,7,"(5:43) (Punt formation) C.Bojorquez punts 51 yards to BAL 31, Center-R.Ferguson. J.Grant to BAL 34 for 3 yards (L.Alexander).",NA,NA,NA,51,"Janarion Grant",139
2018,1,"09/09/2018",1,"6:34",2018090901,588,"CLE","PIT",0,0,"(6:34) (Punt formation) B.Colquitt punts 47 yards to PIT 28, Center-C.Hughlett. R.Switzer to 50 for 22 yards (B.Boddy-Calhoun).",NA,NA,NA,47,"Ryan Switzer",133
2018,1,"09/09/2018",1,"6:37",2018090900,575,"BAL","BUF",7,0,"(6:37) (Punt formation) S.Koch punts 63 yards to BUF 11, Center-M.Cox. J.Kerley to BUF 15 for 4 yards (T.Bowser, C.Clark).",NA,NA,NA,63,"Jeremy Kerley",141
2018,1,"09/09/2018",1,"7:25",2018090900,485,"BUF","BAL",0,7,"(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).",NA,NA,NA,46,"Janarion Grant",140
