"","save_names","save_urls"
"1","adam_humphries","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/l56ywjejfpraigzs4qia"
"2","adam_jones","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/hvbjym05mpvfkdhy3bsz"
"3","adoree_jackson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/c6szu9hmpnwlvhhgbi5f"
"4","alex_erickson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/tcck1wghs3bhoy0c3q3c"
"5","alvin_kamara","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/edds7v7b4yls4rremb1x"
"6","andre_roberts","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/tjmexohf6tadl7hlylc3"
"7","andy_isabella","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/uqupqfv5xghh0qon7np1"
"8","anthony_miller","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/znzbzy92etugdbtf3m3g"
"9","antonio_brown","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/ecxsx9t7bfg42bgfwj3v"
"10","antonio_callaway","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/qebxtrpadsvtqkgvfy2u"
"11","austin_carr","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/kbmjaq5myumdsk85ocxf"
"12","bisi_johnson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/c9dcyhrbdcphbm5omefo"
"13","bobo_wilson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/dxmqeel8jwf3yokvtg9a"
"14","boston_scott","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/zcaqhh4uqw7vijiqaacj"
"15","brandon_aiyuk","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/su7teey9hg5jncmx154m"
"16","brandon_powell","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/eojsasyac6fuehxbuvdw"
"17","brandon_rusnak","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/e45xa4ebi0uhf6gjugt4"
"18","brandon_tate","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/uzpf58ijo44jfqakwv83"
"19","brandon_zylstra","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/tjmexohf6tadl7hlylc3"
"20","braxton_berrios","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/qbfth7hcbdzetei5ve82"
"21","bryce_callahan","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/isu4aaumkik8gish5zgk"
"22","byron_murphy","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/uqupqfv5xghh0qon7np1"
"23","c_j_board","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/c6szu9hmpnwlvhhgbi5f"
"24","cameron_batson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/wg28vcm1m9nyf8cchrjq"
"25","ced_wilson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/o9s7sg7j1expg91qbdee"
"26","cedrick_wilson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/nocwjs6usj2ytmpblq6p"
