"","","save_urls"
"1","adam_humphries","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/bocxi4j1brqwamas1994.jpg"
"2","adam_jones","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/wx4mvhodejliheez2qw4.jpg"
"3","adoree_jackson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/lpzklo71q4nkpaqdi0u5"
"4","alex_erickson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/macmamgqffndxbtklzk6"
"5","alvin_kamara","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/uulstglrpmhqsvqyr5v3"
"6","andre_roberts","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/hjoyjewh7knoafxt4k93"
"7","andy_isabella","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/s3repurenhwlyxci2sqy"
"8","anthony_miller","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/u3xq3snkesclrrqulagk"
"9","antonio_brown","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/e6w7wa6ttivvdtgbbvwg.jpg"
"10","antonio_callaway","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/ksxjeyccgqz0yloufqpo.jpg"
"11","austin_carr","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/onigfznexnlmfoxz8nqa.jpg"
"12","bisi_johnson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/uzlf6ftfizmo32d9v0x5"
"13","bobo_wilson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/ndjs5r1tycou8sanapjl.jpg"
"14","boston_scott","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/azkmwe4bavbca3tmx9em"
"15","brandon_aiyuk","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/myd0hbdegadm0beryuxz"
"16","brandon_powell","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/fkckjg4yqybqndyub6lu"
"17","brandon_rusnak","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/ybueg5sv7fkjpkvj7ti6"
"18","brandon_tate","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/c7mkza5bqokzm1e3swtt.jpg"
"19","brandon_zylstra","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/arx0mz7gc5dm0wfc5kfx"
"20","braxton_berrios","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/vlx5vkd8ghcq1snnhdij"
"21","bryce_callahan","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/wrmvesdgdxl3pjhssgyh"
"22","byron_murphy","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/t2qwosb8tjtzdi6ymlge"
"23","c_j_board","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/pzshlaz0iihftpmg9imt"
"24","cameron_batson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/pow47zamr7jdcca5ibsl"
"25","ced_wilson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/zvirmx1m9vycmfpfbf1w"
"26","ceedee_lamb","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/f8elvw51jgvzf95weg1o"
"27","chad_beebe","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/uregjfx17sgrdk4vtwjb.jpg"
"28","chester_rogers","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/lkszsifhpwtjpvjvlxw5"
"29","chris_claybrooks","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/yiayltrr7rrcointxjiw"
"30","chris_hogan","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/vvs43tzefd0cvpppddeu.jpg"
"31","christian_kirk","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/illjppjxpfa4joefmpd0"
"32","cole_beasley","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/kuepadjtg72gojauzufl.jpg"
"33","cooper_kupp","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/tojsgl1ttwjkvo6x7wgy"
"34","corey_clement","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/zqd8pc0cjtc7txsrvbm7.jpg"
"35","corey_coleman","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/yawvrg2sh7ryru2z2kwe"
"36","cyrus_jones","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/g3zmkqfccz1apwa4clm1.jpg"
"37","d_ernest_johnson","https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/hcv0lb0kp1bc7dzehu2t"
